Success,10001 account created,22-06-2019 16:36:20
Success,10002 account created,22-06-2019 16:37:01
Success,Account 10002 modified,22-06-2019 17:12:00
Success,Account 10001 closed,22-06-2019 17:45:48
Success,10003 account created,22-06-2019 17:55:38
Success,10004 account created,22-06-2019 18:31:02
Success,10005 account created,22-06-2019 18:31:30
Success,Account 10002 closed,23-06-2019 09:06:07
Success,Account 10005 closed,23-06-2019 09:07:43
Success,10006 account created,23-06-2019 09:08:11
Success,Account 10004 closed,23-06-2019 09:09:00
Success,10007 account created,23-06-2019 10:11:53
Success,Account 10000 modified,23-06-2019 10:15:22
Success,Account 10000 closed,23-06-2019 10:16:00
